
N	10000
r	0.333333
Steps	1e+005
Sample	1e+006

k	<x(k)>	SD[x(k)]
-14	0.000001	0.000008
-13	0.000001	0.000011
-12	0.000002	0.000016
-11	0.000003	0.000018
-10	0.000009	0.000032
-9	0.000058	0.000091
-8	0.000184	0.000134
-7	0.000556	0.000235
-6	0.001447	0.000432
-5	0.004156	0.000852
-4	0.011018	0.001524
-3	0.028771	0.002063
-2	0.073238	0.002542
-1	-0.208020	0.429524
0	-0.109696	0.429540
1	-0.209342	0.429521
2	0.072454	0.002458
3	0.028639	0.002040
4	0.011272	0.001431
5	0.004279	0.000907
6	0.001555	0.000500
7	0.000577	0.000254
8	0.000200	0.000159
9	0.000077	0.000086
10	0.000033	0.000056
11	0.000024	0.000045
12	0.000007	0.000026
13	0.000004	0.000020
14	0.000001	0.000009


y_ij	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
-15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000005	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000003	0.000017	0.000026	0.000011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000002	0.000011	0.000043	0.000070	0.000056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000008	0.000029	0.000128	0.000220	0.000168	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000009	0.000031	0.000098	0.000340	0.000557	0.000409	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000009	0.000029	0.000095	0.000263	0.000967	0.001650	0.001138	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000012	0.000027	0.000072	0.000255	0.000752	0.002578	0.004434	0.002884	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000006	0.000021	0.000083	0.000223	0.000664	0.002052	0.006823	0.011336	0.007562	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000007	0.000024	0.000067	0.000198	0.000597	0.001829	0.005259	0.017536	0.028796	0.018924	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
-1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000009	0.000017	0.000066	0.000189	0.000570	0.001675	0.004657	0.012863	0.042990	0.071727	0.055552	0.018868	0.007512	0.003016	0.001104	0.000416	0.000142	0.000065	0.000021	0.000006	0.000008	0.000001	0.000002	0.000001	
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000014	0.000045	0.000134	0.000348	0.001058	0.002944	0.007958	0.021157	0.067170	0.100820	0.071212	0.028399	0.011368	0.004478	0.001725	0.000594	0.000231	0.000075	0.000032	0.000018	0.000012	0.000004	0.000002	0.000000	
