STEPS N K lambda/mu s y0+yK var(y0,yK) StationBikes StreetBikes
1.500000e+006 100 30 20.000000 0.000000 1.000000e+000 0.000000e+000 0.000000 0.000000
1.500000e+006 100 30 20.000000 1.000000 9.522540e-001 2.076036e-002 0.050029 0.949971
1.500000e+006 100 30 20.000000 2.000000 9.056386e-001 2.821878e-002 0.103587 1.896413
1.500000e+006 100 30 20.000000 3.000000 8.578883e-001 3.410653e-002 0.164499 2.835501
1.500000e+006 100 30 20.000000 4.000000 8.111539e-001 3.850343e-002 0.229915 3.770085
1.500000e+006 100 30 20.000000 5.000000 7.650320e-001 4.151653e-002 0.303510 4.696490
1.500000e+006 100 30 20.000000 6.000000 7.198568e-001 4.342164e-002 0.381534 5.618466
1.500000e+006 100 30 20.000000 7.000000 6.738896e-001 4.562524e-002 0.471779 6.528221
1.500000e+006 100 30 20.000000 8.000000 6.292142e-001 4.724445e-002 0.569665 7.430335
1.500000e+006 100 30 20.000000 9.000000 5.855022e-001 4.776757e-002 0.676152 8.323848
1.500000e+006 100 30 20.000000 10.000000 5.419046e-001 4.884325e-002 0.800889 9.199111
1.500000e+006 100 30 20.000000 11.000000 4.993621e-001 4.807383e-002 0.941018 10.058982
1.500000e+006 100 30 20.000000 12.000000 4.566367e-001 4.853918e-002 1.097355 10.902645
1.500000e+006 100 30 20.000000 13.000000 4.155564e-001 4.793504e-002 1.274855 11.725145
1.500000e+006 100 30 20.000000 14.000000 3.771059e-001 4.701982e-002 1.473558 12.526442
1.500000e+006 100 30 20.000000 15.000000 3.371838e-001 4.652233e-002 1.702804 13.297196
1.500000e+006 100 30 20.000000 16.000000 3.017105e-001 4.403916e-002 1.954598 14.045402
1.500000e+006 100 30 20.000000 17.000000 2.643267e-001 4.240156e-002 2.255298 14.744702
1.500000e+006 100 30 20.000000 18.000000 2.327513e-001 4.161975e-002 2.555915 15.444085
1.500000e+006 100 30 20.000000 19.000000 2.006479e-001 3.837617e-002 2.932843 16.067157
1.500000e+006 100 30 20.000000 20.000000 1.730974e-001 3.697423e-002 3.330706 16.669294
1.500000e+006 100 30 20.000000 21.000000 1.461493e-001 3.452609e-002 3.787776 17.212224
1.500000e+006 100 30 20.000000 22.000000 1.224640e-001 3.108269e-002 4.292988 17.707012
1.500000e+006 100 30 20.000000 23.000000 9.872907e-002 2.889818e-002 4.883934 18.116066
1.500000e+006 100 30 20.000000 24.000000 8.026360e-002 2.677471e-002 5.511219 18.488781
1.500000e+006 100 30 20.000000 25.000000 6.328578e-002 2.357905e-002 6.223788 18.776212
1.500000e+006 100 30 20.000000 26.000000 4.915294e-002 2.170906e-002 6.975436 19.024564
1.500000e+006 100 30 20.000000 27.000000 3.934756e-002 1.866240e-002 7.628877 19.371123
1.500000e+006 100 30 20.000000 28.000000 2.884989e-002 1.605494e-002 8.533467 19.466533
1.500000e+006 100 30 20.000000 29.000000 2.090702e-002 1.385486e-002 9.404879 19.595121
1.500000e+006 100 30 20.000000 30.000000 1.599797e-002 1.248672e-002 10.196549 19.803451
1.500000e+006 100 30 20.000000 31.000000 1.177868e-002 1.074720e-002 11.117604 19.882396
1.500000e+006 100 30 20.000000 32.000000 8.610400e-003 9.242567e-003 12.103896 19.896104
1.500000e+006 100 30 20.000000 33.000000 6.526800e-003 8.079801e-003 13.090018 19.909982
1.500000e+006 100 30 20.000000 34.000000 5.152650e-003 7.035527e-003 13.922569 20.077431
1.500000e+006 100 30 20.000000 35.000000 4.284040e-003 6.413091e-003 14.844353 20.155647
1.500000e+006 100 30 20.000000 36.000000 5.013890e-003 6.967427e-003 15.840206 20.159794
1.500000e+006 100 30 20.000000 37.000000 5.716200e-003 7.491304e-003 16.786568 20.213432
1.500000e+006 100 30 20.000000 38.000000 7.149280e-003 8.341409e-003 17.703815 20.296185
1.500000e+006 100 30 20.000000 39.000000 1.072483e-002 1.017585e-002 18.754992 20.245008
1.500000e+006 100 30 20.000000 40.000000 1.580008e-002 1.227555e-002 19.743923 20.256077
1.500000e+006 100 30 20.000000 41.000000 2.081393e-002 1.394273e-002 20.481621 20.518379
1.500000e+006 100 30 20.000000 42.000000 2.792816e-002 1.632850e-002 21.419664 20.580336
1.500000e+006 100 30 20.000000 43.000000 3.756570e-002 1.929621e-002 22.235384 20.764616
1.500000e+006 100 30 20.000000 44.000000 4.877701e-002 2.135143e-002 23.019249 20.980751
1.500000e+006 100 30 20.000000 45.000000 6.423747e-002 2.439067e-002 23.783789 21.216211
1.500000e+006 100 30 20.000000 46.000000 8.029755e-002 2.705786e-002 24.468250 21.531750
1.500000e+006 100 30 20.000000 47.000000 9.668681e-002 2.899956e-002 25.012300 21.987700
1.500000e+006 100 30 20.000000 48.000000 1.205490e-001 3.153202e-002 25.584717 22.415283
1.500000e+006 100 30 20.000000 49.000000 1.389304e-001 3.441711e-002 25.979425 23.020575
1.500000e+006 100 30 20.000000 50.000000 1.618536e-001 3.626751e-002 26.425684 23.574316
