N K STEPS lambda/mu s y0+yK var(y0,yK) StationBikes StreetBikes
100 10 1e+006 10.000000 14.990000 1.121860e-001 3.205979e-002 5.071514 9.918486
100 12 1e+006 10.000000 15.990000 7.559392e-002 2.620560e-002 6.057076 9.932924
100 14 1e+006 10.000000 16.990000 5.014960e-002 2.190931e-002 6.989842 10.000158
100 16 1e+006 10.000000 17.990000 3.277006e-002 1.829075e-002 8.008147 9.981853
100 18 1e+006 10.000000 18.990000 2.115380e-002 1.421841e-002 9.021872 9.968128
100 20 1e+006 10.000000 19.990000 1.333586e-002 1.131424e-002 9.986085 10.003915
100 22 1e+006 10.000000 20.990000 7.373640e-003 8.614205e-003 10.920613 10.069387
100 24 1e+006 10.000000 21.990000 4.538440e-003 6.713436e-003 11.949247 10.040753
100 26 1e+006 10.000000 22.990000 2.354940e-003 4.740456e-003 12.946054 10.043946
100 28 1e+006 10.000000 23.990000 1.629640e-003 4.118848e-003 13.937091 10.052909
100 30 1e+006 10.000000 24.990000 9.289600e-004 3.042941e-003 14.966993 10.023007
100 10 1e+006 1.000000 6.000000 2.553482e-002 1.548489e-002 5.015224 0.984776
100 12 1e+006 1.000000 7.000000 1.254634e-002 1.083195e-002 6.006184 0.993816
100 14 1e+006 1.000000 8.000000 5.188240e-003 7.203814e-003 7.001663 0.998337
100 16 1e+006 1.000000 9.000000 2.642440e-003 5.023256e-003 7.994387 1.005613
100 18 1e+006 1.000000 10.000000 1.422940e-003 3.741262e-003 9.003269 0.996731
100 20 1e+006 1.000000 11.000000 6.197400e-004 2.506257e-003 9.993832 1.006168
100 22 1e+006 1.000000 12.000000 3.119000e-004 1.744855e-003 10.999141 1.000859
100 24 1e+006 1.000000 13.000000 1.261600e-004 1.136347e-003 11.995918 1.004082
100 26 1e+006 1.000000 14.000000 5.282000e-005 7.460630e-004 12.997113 1.002887
100 28 1e+006 1.000000 15.000000 3.220000e-005 5.665361e-004 13.995022 1.004978
100 30 1e+006 1.000000 16.000000 1.940000e-005 4.400269e-004 14.992525 1.007475
100 10 1e+006 0.100000 5.100000 1.376270e-002 1.132048e-002 5.001310 0.098690
100 12 1e+006 0.100000 6.100000 7.095600e-003 8.119659e-003 5.999991 0.100009
100 14 1e+006 0.100000 7.100000 3.437800e-003 5.610520e-003 6.999572 0.100428
100 16 1e+006 0.100000 8.100000 1.836040e-003 4.285062e-003 8.000165 0.099835
100 18 1e+006 0.100000 9.100000 8.040600e-004 2.771514e-003 9.000313 0.099687
100 20 1e+006 0.100000 10.100000 4.574000e-004 2.180547e-003 9.999862 0.100138
100 22 1e+006 0.100000 11.100000 2.100000e-004 1.455850e-003 11.000113 0.099887
100 24 1e+006 0.100000 12.100000 8.226000e-005 9.032349e-004 11.999905 0.100095
100 26 1e+006 0.100000 13.100000 4.592000e-005 6.760853e-004 12.999775 0.100225
100 28 1e+006 0.100000 14.100000 2.142000e-005 4.623215e-004 13.999946 0.100054
100 30 1e+006 0.100000 15.100000 1.732000e-005 4.158125e-004 14.999735 0.100265
STEPS N K lambda/mu s y0+yK var(y0,yK) StationBikes StreetBikes
1e+006 100 10 50.000001 55.000000 1.625189e-001 3.880862e-002 5.035636 49.964364
1e+006 100 12 50.000001 56.000000 1.276262e-001 3.476031e-002 6.006221 49.993779
1e+006 100 14 50.000001 57.000000 1.041435e-001 3.099188e-002 6.939748 50.060252
1e+006 100 16 50.000001 58.000000 8.581148e-002 2.792745e-002 7.949330 50.050670
1e+006 100 18 50.000001 59.000000 6.882620e-002 2.562776e-002 8.959766 50.040234
1e+006 100 20 50.000001 60.000000 5.451872e-002 2.255685e-002 9.978414 50.021586
1e+006 100 22 50.000001 61.000000 4.619626e-002 2.179866e-002 11.022948 49.977052
1e+006 100 24 50.000001 62.000000 3.762106e-002 1.923105e-002 11.959705 50.040295
1e+006 100 26 50.000001 63.000000 2.993256e-002 1.688167e-002 12.908835 50.091165
1e+006 100 28 50.000001 64.000000 2.441642e-002 1.548928e-002 14.054651 49.945349
1e+006 100 30 50.000001 65.000000 1.899904e-002 1.361657e-002 15.058289 49.941711
STEPS N K lambda/mu s y0+yK var(y0,yK) StationBikes StreetBikes
1e+006 100 10 50.000001 55.000000 1.337076e-002 1.223476e-002 5.142347 49.857653
1e+006 100 12 50.000001 56.000000 7.082580e-003 8.631852e-003 5.984243 50.015757
1e+006 100 14 50.000001 57.000000 3.148420e-003 5.728949e-003 7.078888 49.921112
1e+006 100 16 50.000001 58.000000 1.916540e-003 4.420800e-003 7.870142 50.129858
1e+006 100 18 50.000001 59.000000 1.004680e-003 3.230142e-003 8.921370 50.078630
1e+006 100 20 50.000001 60.000000 5.015400e-004 2.282599e-003 9.708742 50.291258
1e+006 100 22 50.000001 61.000000 2.219600e-004 1.497309e-003 10.735291 50.264709
1e+006 100 24 50.000001 62.000000 8.756000e-005 9.585057e-004 11.883917 50.116083
1e+006 100 26 50.000001 63.000000 3.326000e-005 5.757550e-004 13.083110 49.916890
1e+006 100 28 50.000001 64.000000 3.142000e-005 5.596542e-004 13.757796 50.242204
1e+006 100 30 50.000001 65.000000 1.674000e-005 4.088029e-004 14.576525 50.423475
STEPS N K lambda/mu s y0+yK var(y0,yK) StationBikes StreetBikes
STEPS N K lambda/mu s y0+yK var(y0,yK) StationBikes StreetBikes
