STEPS N K lambda/mu s y0+yK var(y0,yK) StationBikes StreetBikes
1.500000e+006 100 30 1.000000 16.000000 5.925740e-003 1.026079e-002 14.998638 1.001362
1.500000e+006 100 30 6.000000 20.990000 2.016900e-003 5.527336e-003 14.959250 6.030750
1.500000e+006 100 30 11.000000 25.990000 5.216070e-003 1.007036e-002 14.911119 11.078881
1.500000e+006 100 30 16.000000 31.000000 2.439110e-003 6.166684e-003 14.942633 16.057367
1.500000e+006 100 30 21.000000 35.990000 3.690860e-003 7.725561e-003 14.981137 21.008863
1.500000e+006 100 30 25.999999 40.990000 4.759790e-003 9.986233e-003 14.908915 26.081085
1.500000e+006 100 30 30.999997 45.990000 4.633990e-003 8.688264e-003 14.892523 31.097477
1.500000e+006 100 30 35.999997 50.990000 3.909760e-003 8.465308e-003 14.693830 36.296170
1.500000e+006 100 30 40.999998 55.990000 4.445630e-003 8.705615e-003 14.728679 41.261321
1.500000e+006 100 30 45.999999 60.990000 4.832970e-003 8.900806e-003 14.766145 46.223855
1.500000e+006 100 30 50.999998 65.990000 4.692800e-003 9.699561e-003 14.738551 51.251449
